Business 1: Creative GOAT, Address: , Phone: 
Business 2: North Computing - Business IT Support & Managed IT Services, Address: , Phone: 
Business 3: X Web Coder, Address: , Phone: 
Business 4: Linnovative Solutions Inc., Address: , Phone: Willet Green Miller Centre, 935 Ramsey Lake Rd
Business 5: Key Logic Software Solutions, Address: , Phone: 
Business 6: Kingsoft Canada, Address: , Phone: 
Business 7: Sofvie Inc., Address: , Phone: 
Business 8: Digital Waves, Address: , Phone: 
Business 9: MineRP Canada, Address: , Phone: 
Business 10: TheWebBoutique.ca, Address: , Phone: 
Business 11: Code Babbage, Address: , Phone: 
Business 12: Sudbury Website Design, Web Developer, Graphic Design, Address: , Phone: 
Business 13: Centric Mining Systems, Address: , Phone: 
Business 14: Mahjelan Software Services, Address: , Phone: 10-2120 Wayne Rd
Business 15: Symboticware Inc., Address: , Phone: 
Business 16: Datamine, Address: , Phone: 
Business 17: Atomic Growth, Address: , Phone: 
Business 18: Computrek, Address: , Phone: 
Business 19: Aurora Microsystems, Address: , Phone: 
Business 20: Itasca Consulting Canada Inc., Address: , Phone: 
